film_id,title,rental_rate,rating,replacement_cost,count,valor_final_alquilado
1,Academy Dinosaur,0.99,PG,20.99,4,3.96
4,Affair Prejudice,2.99,G,26.99,4,11.96
6,Agent Truman,2.99,PG,17.99,3,8.97
7,Airplane Sierra,4.99,PG-13,28.99,2,9.98
9,Alabama Devil,2.99,PG-13,21.99,3,8.97
10,Aladdin Calendar,4.99,NC-17,24.99,4,19.96
11,Alamo Videotape,0.99,G,16.99,4,3.96
12,Alaska Phantom,0.99,PG,22.99,3,2.97
15,Alien Center,2.99,NC-17,10.99,2,5.98
16,Alley Evolution,2.99,NC-17,23.99,2,5.98
17,Alone Trip,0.99,R,14.99,3,2.97
18,Alter Victory,0.99,PG-13,27.99,3,2.97
19,Amadeus Holy,0.99,PG,20.99,4,3.96
20,Amelie Hellfighters,4.99,R,23.99,3,14.97
21,American Circus,4.99,R,17.99,2,9.98
22,Amistad Midsummer,2.99,G,10.99,4,11.96
23,Anaconda Confessions,0.99,R,9.99,3,2.97
24,Analyze Hoosiers,2.99,R,19.99,4,11.96
25,Angels Life,2.99,G,15.99,4,11.96
26,Annie Identity,0.99,G,15.99,2,1.98
27,Anonymous Human,0.99,NC-17,12.99,4,3.96
28,Anthem Luke,4.99,PG-13,16.99,3,14.97
29,Antitrust Tomatoes,2.99,NC-17,11.99,2,5.98
30,Anything Savannah,2.99,R,27.99,2,5.98
31,Apache Divine,4.99,NC-17,16.99,4,19.96
35,Arachnophobia Rollercoaster,2.99,PG-13,24.99,4,11.96
37,Arizona Bang,2.99,PG,28.99,4,11.96
39,Armageddon Lost,0.99,G,10.99,3,2.97
43,Atlantis Cause,2.99,G,15.99,3,8.97
44,Attacks Hate,4.99,PG-13,21.99,2,9.98
45,Attraction Newton,4.99,PG-13,14.99,4,19.96
48,Backlash Undefeated,4.99,PG-13,24.99,2,9.98
49,Badman Dawn,2.99,R,22.99,3,8.97
50,Baked Cleopatra,2.99,G,20.99,3,8.97
51,Balloon Homeward,2.99,NC-17,10.99,2,5.98
53,Bang Kwai,2.99,NC-17,25.99,2,5.98
54,Banger Pinocchio,0.99,R,15.99,3,2.97
55,Barbarella Streetcar,2.99,G,27.99,4,11.96
56,Barefoot Manchurian,2.99,G,15.99,3,8.97
57,Basic Easy,2.99,PG-13,18.99,4,11.96
59,Bear Graceland,2.99,R,20.99,3,8.97
60,Beast Hunchback,4.99,R,22.99,3,14.97
